iter	Passed	Remaining
402	12372	18328
403	12403	18297
404	12437	18272
405	12468	18242
406	12501	18215
407	12533	18186
408	12563	18154
409	12594	18124
410	12624	18092
411	12658	18066
412	12692	18039
413	12724	18011
414	12755	17980
415	12787	17951
416	12820	17923
417	12853	17896
418	12887	17870
419	12921	17843
420	12952	17813
421	12982	17781
422	13014	17752
423	13042	17718
424	13073	17687
425	13105	17658
426	13137	17629
427	13168	17599
428	13199	17568
429	13232	17540
430	13261	17507
431	13294	17480
432	13325	17449
433	13356	17418
434	13388	17389
435	13418	17357
436	13450	17328
437	13481	17298
438	13512	17268
439	13545	17239
440	13581	17215
441	13610	17182
442	13642	17152
443	13674	17123
444	13707	17096
445	13741	17069
446	13771	17036
447	13802	17006
448	13835	16978
449	13868	16950
450	13900	16920
451	13933	16892
452	13967	16865
453	13997	16834
454	14029	16804
455	14059	16773
456	14090	16742
457	14125	16716
458	14157	16686
459	14189	16657
460	14221	16627
461	14251	16596
462	14284	16567
463	14314	16535
464	14345	16504
465	14375	16472
466	14409	16446
467	14442	16417
468	14473	16386
469	14510	16363
470	14540	16330
471	14574	16303
472	14606	16273
473	14637	16243
474	14668	16212
475	14700	16182
476	14733	16153
477	14764	16123
478	14795	16093
479	14827	16062
480	14857	16031
481	14887	15999
482	14921	15971
483	14953	15942
484	14984	15911
485	15015	15880
486	15045	15848
487	15076	15817
488	15108	15788
489	15139	15757
490	15169	15725
491	15199	15694
492	15232	15664
493	15262	15633
494	15292	15601
495	15325	15572
496	15360	15545
497	15392	15516
498	15424	15486
499	15455	15455
500	15486	15424
501	15517	15394
502	15549	15363
503	15579	15332
504	15612	15302
505	15643	15272
506	15674	15242
507	15707	15212
508	15738	15181
509	15772	15154
510	15803	15123
511	15834	15092
512	15866	15062
513	15896	15030
514	15926	14998
515	15956	14966
516	15988	14936
517	16018	14905
518	16049	14874
519	16081	14844
520	16110	14811
521	16139	14779
522	16174	14751
523	16208	14723
524	16238	14691
525	16269	14660
526	16300	14630
527	16334	14601
528	16364	14570
529	16396	14540
530	16426	14508
531	16457	14477
532	16489	14447
533	16521	14417
534	16551	14385
535	16584	14357
536	16618	14328
537	16648	14296
538	16680	14266
539	16712	14236
540	16743	14205
541	16774	14175
542	16805	14143
543	16838	14114
544	16868	14082
545	16899	14052
546	16933	14023
547	16963	13991
548	16996	13962
549	17029	13933
550	17060	13902
551	17091	13871
552	17123	13841
553	17155	13810
554	17186	13780
555	17217	13748
556	17249	13718
557	17282	13689
558	17323	13666
559	17361	13641
560	17402	13618
561	17443	13594
562	17481	13569
563	17519	13543
564	17555	13515
565	17590	13487
566	17625	13459
567	17661	13432
568	17693	13402
569	17726	13372
570	17760	13343
571	17794	13314
572	17827	13284
573	17859	13254
574	17892	13225
575	17926	13195
576	17959	13166
577	17993	13136
578	18025	13106
579	18057	13076
580	18091	13046
581	18124	13017
582	18157	12987
583	18190	12957
584	18224	12928
585	18257	12898
586	18291	12869
587	18324	12839
588	18358	12810
589	18392	12781
590	18426	12751
591	18458	12721
592	18491	12691
593	18524	12661
594	18556	12630
595	18588	12600
596	18622	12570
597	18656	12541
598	18689	12511
599	18720	12480
600	18751	12449
601	18781	12417
602	18814	12387
603	18847	12356
604	18876	12324
605	18909	12293
606	18941	12263
607	18973	12233
608	19004	12201
609	19037	12171
610	19068	12140
611	19099	12108
612	19129	12076
613	19161	12046
614	19191	12014
615	19223	11983
616	19258	11954
617	19307	11934
618	19346	11907
619	19377	11876
620	19406	11843
621	19439	11813
622	19473	11784
623	19503	11752
624	19534	11720
625	19564	11688
626	19595	11657
627	19626	11625
628	19656	11593
629	19688	11563
630	19720	11532
631	19749	11499
632	19780	11468
633	19811	11437
634	19842	11405
635	19874	11374
636	19904	11343
637	19937	11312
638	19968	11280
639	19999	11249
640	20029	11217
641	20059	11185
642	20091	11154
643	20122	11123
644	20152	11091
645	20182	11059
646	20212	11027
647	20243	10996
648	20276	10966
649	20306	10934
650	20340	10904
651	20372	10873
652	20402	10841
653	20433	10810
654	20464	10778
655	20493	10746
656	20525	10715
657	20554	10683
658	20583	10650
659	20613	10618
660	20643	10587
661	20673	10555
662	20704	10523
663	20737	10493
664	20767	10461
665	20799	10430
666	20830	10399
667	20862	10368
668	20893	10337
669	20923	10305
670	20955	10274
671	20985	10242
672	21015	10211
673	21046	10179
674	21077	10148
675	21109	10117
676	21141	10086
677	21172	10055
678	21202	10023
679	21232	9991
680	21263	9960
681	21294	9928
682	21324	9897
683	21355	9865
684	21386	9834
685	21417	9803
686	21446	9771
687	21477	9739
688	21508	9708
689	21537	9676
690	21570	9646
691	21604	9615
692	21637	9585
693	21675	9556
694	21707	9526
695	21738	9494
696	21768	9463
697	21798	9431
698	21830	9400
699	21860	9368
700	21892	9337
701	21925	9307
702	21955	9275
703	21986	9244
704	22018	9213
705	22050	9182
706	22079	9150
707	22110	9118
708	22140	9087
709	22171	9056
710	22201	9024
711	22233	8993
712	22262	8961
713	22293	8929
714	22325	8899
715	22355	8867
716	22385	8835
717	22417	8804
718	22448	8773
719	22479	8741
720	22510	8710
721	22539	8678
722	22568	8646
723	22599	8615
724	22629	8583
725	22661	8552
726	22691	8521
727	22722	8489
728	22752	8458
729	22782	8426
730	22812	8394
731	22846	8364
732	22876	8332
733	22906	8301
734	22937	8269
735	22969	8239
736	23001	8208
737	23031	8176
738	23063	8145
739	23096	8114
740	23125	8083
741	23157	8052
742	23187	8020
743	23218	7989
744	23249	7957
745	23279	7926
746	23311	7895
747	23342	7863
748	23371	7832
749	23402	7800
750	23439	7771
751	23469	7739
752	23501	7709
753	23533	7678
754	23562	7646
755	23591	7614
756	23622	7582
757	23653	7551
758	23681	7519
759	23714	7488
760	23745	7457
761	23775	7425
762	23805	7394
763	23837	7363
764	23867	7331
765	23899	7300
766	23931	7269
767	23961	7238
768	23990	7206
769	24019	7174
770	24051	7143
771	24082	7112
772	24113	7081
773	24147	7050
774	24176	7019
775	24206	6987
776	24237	6956
777	24269	6925
778	24301	6894
779	24332	6862
780	24363	6831
781	24395	6800
782	24425	6769
783	24455	6737
784	24487	6706
785	24517	6675
786	24548	6643
787	24581	6613
788	24611	6581
789	24641	6550
790	24672	6519
791	24702	6487
792	24732	6455
793	24765	6425
794	24797	6394
795	24827	6362
796	24858	6331
797	24889	6300
798	24920	6269
799	24951	6237
800	24984	6207
801	25015	6175
802	25046	6144
803	25077	6113
804	25108	6082
805	25136	6050
806	25166	6018
807	25197	5987
808	25227	5956
809	25258	5924
810	25289	5893
811	25320	5862
812	25351	5831
813	25383	5800
814	25414	5768
815	25446	5737
816	25476	5706
817	25506	5674
818	25539	5644
819	25570	5613
820	25601	5581
821	25634	5550
822	25663	5519
823	25695	5488
824	25726	5457
825	25757	5425
