iter	RMSE
337	1.447866968
338	1.447218639
339	1.445791594
340	1.44443192
341	1.444282188
342	1.442900403
343	1.441779984
344	1.440754225
345	1.439603554
346	1.438358932
347	1.43668117
348	1.435631796
349	1.434593262
350	1.433398666
351	1.432518947
352	1.431270153
353	1.430140182
354	1.429266582
355	1.427483147
356	1.426751795
357	1.425492892
358	1.424325986
359	1.423719413
360	1.422361883
361	1.421711063
362	1.420426818
363	1.419060152
364	1.418258585
365	1.417215337
366	1.416139149
367	1.414570262
368	1.413336679
369	1.413076695
370	1.411847463
371	1.410958785
372	1.408952084
373	1.408282123
374	1.406994715
375	1.405929361
376	1.40478325
377	1.403249961
378	1.402258926
379	1.400365857
380	1.399433474
381	1.398626928
382	1.397974199
383	1.396429549
384	1.395392748
385	1.394694913
386	1.393609728
387	1.392512267
388	1.391019566
389	1.389998013
390	1.389030977
391	1.387911653
392	1.386610414
393	1.38508319
394	1.384434658
395	1.383233799
396	1.381982516
397	1.38147623
398	1.379703667
399	1.378456873
400	1.37733835
401	1.376477426
402	1.375194565
403	1.373526043
404	1.372268035
405	1.371331875
406	1.370266638
407	1.369442182
408	1.367616395
409	1.36630786
410	1.365099758
411	1.363799348
412	1.3624121
413	1.361431946
414	1.360717377
415	1.358853929
416	1.357153622
417	1.355241091
418	1.353826454
419	1.352358292
420	1.351450284
421	1.350523772
422	1.349074172
423	1.347951885
424	1.347230219
425	1.346190466
426	1.344740176
427	1.343545454
428	1.341734121
429	1.341235416
430	1.340537817
431	1.338403292
432	1.337539497
433	1.335838935
434	1.334445822
435	1.333368833
436	1.330727909
437	1.329035267
438	1.328110803
439	1.326815345
440	1.32564855
441	1.324511994
442	1.323560678
443	1.322774224
444	1.321038294
445	1.320264542
446	1.31923443
447	1.318255933
448	1.316804879
449	1.315707912
450	1.314414934
451	1.313260246
452	1.311459846
453	1.309917698
454	1.309079016
455	1.307616271
456	1.307111522
457	1.305866928
458	1.305051491
459	1.303285434
460	1.301507209
461	1.300716084
462	1.29953254
463	1.298769105
464	1.29727471
465	1.295889419
466	1.295223587
467	1.294076186
468	1.293525618
469	1.291615551
470	1.291054378
471	1.289545106
472	1.288503827
473	1.287360577
474	1.285802797
475	1.284987979
476	1.284315089
477	1.283609552
478	1.282284553
479	1.281498921
480	1.280819568
481	1.2798712
482	1.27902552
483	1.278072216
484	1.27754951
485	1.276992232
486	1.275302635
487	1.274176763
488	1.2723557
489	1.271174813
490	1.270120693
491	1.269239363
492	1.267801547
493	1.265976891
494	1.264872597
495	1.264261088
496	1.263210227
497	1.261827221
498	1.261152707
499	1.2605735
500	1.259304956
501	1.258540269
502	1.257715777
503	1.257334981
504	1.256157309
505	1.255200541
506	1.254328872
507	1.253150909
508	1.251715891
509	1.25060663
510	1.249678239
511	1.248508422
512	1.246893545
513	1.245951179
514	1.244924891
515	1.244211795
516	1.243238596
517	1.24276042
518	1.241122186
519	1.240617401
520	1.239705451
521	1.238696818
522	1.236616232
523	1.235169257
524	1.234507495
525	1.233885192
526	1.23295178
527	1.232310049
528	1.231378156
529	1.229678468
530	1.228843434
531	1.226578785
532	1.225094947
533	1.224487821
534	1.223880466
535	1.222977596
536	1.222052722
537	1.221473843
538	1.220784101
539	1.218996663
540	1.217758992
541	1.216714828
542	1.216147907
543	1.214875619
544	1.214210399
545	1.213208591
546	1.212624632
547	1.212133938
548	1.21158598
549	1.210788183
550	1.210039196
551	1.208530881
552	1.207234614
553	1.206224566
554	1.205688272
555	1.205013001
556	1.204150356
557	1.203313921
558	1.202883992
559	1.202125516
560	1.201318745
561	1.200736445
562	1.199518121
563	1.198075405
564	1.197084801
565	1.195728296
566	1.194878659
567	1.194473738
568	1.193308462
569	1.192811104
570	1.191803641
571	1.190824653
572	1.190482572
573	1.188919603
574	1.187305085
575	1.186117871
576	1.185328529
577	1.184709798
578	1.184153195
579	1.183717394
580	1.182690083
581	1.181084105
582	1.180205924
583	1.179008585
584	1.178524603
585	1.177364197
586	1.176470613
587	1.176023382
588	1.175610795
589	1.174564372
590	1.173689102
591	1.172419127
592	1.17114538
593	1.17022778
594	1.169459283
595	1.169031489
596	1.167840144
597	1.16693552
598	1.166284176
599	1.165057865
600	1.16401055
601	1.163294672
602	1.162777971
603	1.16165395
604	1.161019466
605	1.159981317
606	1.158718181
607	1.158157557
608	1.157435624
609	1.156704464
610	1.15602093
611	1.155386295
612	1.155268477
613	1.154058195
614	1.153414992
615	1.152527156
616	1.152066258
617	1.151234262
618	1.150696257
619	1.149971492
620	1.149303093
621	1.147694782
622	1.146523948
623	1.145513559
624	1.144233282
625	1.14341699
626	1.142895502
627	1.141700939
628	1.140495768
629	1.138761739
630	1.138307185
631	1.137674808
632	1.136088657
633	1.134544635
634	1.133598144
635	1.132787921
636	1.131238969
637	1.13048276
638	1.129413574
639	1.128298651
640	1.126941425
641	1.125755689
642	1.125036917
643	1.12407673
644	1.123650561
645	1.122781647
646	1.122358042
647	1.12166327
648	1.120390877
649	1.119707707
650	1.118927607
651	1.118507402
652	1.117273503
653	1.116682071
654	1.115478497
655	1.114178572
656	1.113765406
657	1.113237925
658	1.112528654
659	1.112194006
660	1.111504472
661	1.110877014
662	1.109878999
663	1.108692661
664	1.107585488
665	1.106929234
666	1.105552124
667	1.104535427
668	1.103541789
669	1.10297414
670	1.102634799
671	1.10194267
672	1.100968174
673	1.100084318
674	1.099678929
675	1.099262591
676	1.098705523
677	1.097744473
678	1.097029832
679	1.096508422
680	1.095834984
681	1.094703849
682	1.09392535
683	1.093176746
684	1.09257608
685	1.091357136
686	1.091213666
687	1.090759689
688	1.090181835
689	1.089489338
690	1.08926022
691	1.088379705
692	1.087987897
693	1.086586182
694	1.086069457
695	1.085560707
696	1.08467147
697	1.084245569
698	1.082970254
699	1.082507235
700	1.081535064
701	1.0807425
702	1.079912733
703	1.079333468
704	1.078428676
705	1.077555975
706	1.076951555
707	1.076334512
708	1.075402578
709	1.074546922
710	1.074178174
711	1.073127113
712	1.072662508
713	1.072099903
714	1.071235582
715	1.070398464
716	1.069938693
717	1.069231413
718	1.068515905
719	1.067396415
720	1.06625463
721	1.065460059
722	1.064401339
723	1.063921636
724	1.063327519
725	1.062390426
726	1.061892033
727	1.061154903
728	1.060832802
729	1.06023781
730	1.059454843
731	1.058263528
732	1.057425333
733	1.056627592
734	1.056220826
735	1.055414315
736	1.054697986
737	1.054189299
738	1.053400573
739	1.053034891
740	1.052692476
741	1.052179252
742	1.051291283
743	1.050734661
744	1.050189873
745	1.049217509
746	1.0488362
747	1.048175924
748	1.047697278
749	1.046623848
750	1.046138093
751	1.04513943
752	1.044317328
753	1.043625369
754	1.04316753
755	1.04231207
756	1.041656862
757	1.040926848
758	1.040213238
759	1.039793814
760	1.039388359
761	1.038928462
762	1.037895029
763	1.036911902
764	1.036517908
765	1.036090353
766	1.035578103
767	1.034663466
768	1.034317948
769	1.033784006
770	1.033218302
771	1.032473334
772	1.03194914
773	1.031268246
774	1.030516505
775	1.029672864
776	1.028911096
777	1.028193185
778	1.027844693
779	1.027310385
780	1.026032954
781	1.025000386
782	1.024362175
783	1.023693716
784	1.023249458
785	1.022559426
786	1.02189536
787	1.020076234
788	1.019603235
789	1.019028876
790	1.017444998
791	1.017168888
792	1.015969782
793	1.015533577
794	1.014498878
795	1.013594007
796	1.012651532
797	1.011869289
798	1.011396595
799	1.010489114
800	1.0096798
801	1.009107119
802	1.008722372
803	1.008141635
804	1.007667258
805	1.007040363
806	1.006656566
807	1.006181714
808	1.00550139
809	1.004800014
810	1.004104201
811	1.003617369
812	1.002400902
813	1.001173114
814	1.00006639
815	0.9992369886
816	0.998302256
817	0.9976827692
818	0.9967771198
819	0.9958658719
820	0.9954032831
821	0.994769071
822	0.9943754942
823	0.9940649651
824	0.9936827234
825	0.9930892565
826	0.9923212267
827	0.9910612271
828	0.9906123203
829	0.9900083731
830	0.9897682204
831	0.9889449982
832	0.9886572172
833	0.9878097965
834	0.987335098
835	0.9871384598
836	0.986570995
837	0.9859531156
838	0.9849460883
839	0.9845394316
840	0.9838738158
841	0.9836889965
842	0.9830465334
843	0.9824910203
844	0.981916531
845	0.9811464095
846	0.9804142943
847	0.9796218077
848	0.9788023344
849	0.9779470701
850	0.9768982314
851	0.9762661932
852	0.9754597835
853	0.9749817319
854	0.9744817532
855	0.9739903089
856	0.9734735624
857	0.9724909135
858	0.9714240508
859	0.9709220213
860	0.9703002803
861	0.9696672816
862	0.9689271992
863	0.9683502312
864	0.9674330298
865	0.9666607976
866	0.9657709932
867	0.9650765317
868	0.9644134802
869	0.9639552749
870	0.9633366757
871	0.9627685446
872	0.962445687
873	0.9618152378
874	0.9611020836
875	0.9606686846
876	0.9598716977
877	0.9586156673
878	0.9578879043
879	0.9570933215
880	0.956066879
881	0.9556358985
882	0.9548698779
883	0.9540494116
884	0.9533123254
885	0.9524476359
886	0.9521510629
887	0.951560276
888	0.9512293958
889	0.9509072658
890	0.9503608608
891	0.9499679354
892	0.9492194113
893	0.9487000101
894	0.9484043529
895	0.9478868561
896	0.9471437641
897	0.9466512335
898	0.9460853417
899	0.9453468569
900	0.94449382
901	0.9437308312
902	0.9433959417
903	0.942714417
904	0.9418842774
905	0.9413567487
906	0.9405431679
907	0.9401163154
908	0.9394586569
909	0.9386925453
910	0.9379490494
911	0.9375651688
912	0.9370725324
913	0.9366154151
914	0.9362336789
915	0.9356097066
916	0.9346406222
917	0.9342538143
918	0.9334409944
919	0.9328895342
920	0.9325702425
921	0.9319845816
922	0.9314973845
923	0.9303362697
924	0.9299326906
925	0.9293665662
926	0.9283836075
927	0.927914851
928	0.9272499472
929	0.9268114914
930	0.9263580934
931	0.9256358098
932	0.9253121997
933	0.9249185249
934	0.9245935738
935	0.9235365129
936	0.923104954
937	0.9226216045
938	0.9221601294
939	0.9216313804
940	0.9206729261
941	0.9199921524
942	0.9195119611
943	0.9188643796
944	0.9186628163
945	0.9184364348
946	0.917761166
947	0.917351769
948	0.9166609903
949	0.9160798661
950	0.9155855901
951	0.9153387733
952	0.9146086975
953	0.9141125066
954	0.9131207062
955	0.9126121393
956	0.9120903641
957	0.9114324013
958	0.9107703235
959	0.9104493438
960	0.9094705259
961	0.9088126201
962	0.908225045
963	0.9077100348
964	0.907135196
965	0.9065443823
966	0.9060128598
967	0.9053035029
968	0.9047165911
969	0.9044585476
970	0.9039404906
971	0.9034475935
972	0.902667971
973	0.9015650116
974	0.9009363685
975	0.9004341191
976	0.8995206159
977	0.8988011008
978	0.8984820484
979	0.8978741447
980	0.8972663037
981	0.8964912701
982	0.8951146673
983	0.8948703284
984	0.8944179519
985	0.89374081
986	0.8933129756
987	0.892919737
988	0.8924834285
989	0.8922024046
990	0.8917827072
991	0.8909378599
992	0.8904485037
993	0.8898419249
994	0.8892343327
995	0.8884600635
996	0.8878327456
997	0.8871166761
998	0.8864121749
999	0.88593329
